
2.00000,0.76637,0.80327,0.82831,0.86741
2.00000,0.76637,0.80327,0.82831,0.86741
6.00000,0.73017,0.52223,0.71340,0.73798
4.00000,0.71598,0.63086,0.72037,0.80099
6.00000,0.73017,0.52223,0.71340,0.73798
4.00000,0.71598,0.63086,0.72037,0.80099
1.00000,0.77010,0.81412,0.90711,0.88670
1.00000,0.77010,0.81412,0.90711,0.88670
7.00000,0.72016,0.42230,0.67268,0.72229
3.00000,0.74456,0.73437,0.84847,0.84976
5.00000,0.68341,0.60000,0.83226,0.77772
7.00000,0.72016,0.50022,0.67268,0.72257
5.00000,0.68341,0.60000,0.83226,0.77772
3.00000,0.74456,0.73437,0.84488,0.84976
7.00000,0.72016,0.50022,0.67268,0.72257
5.00000,0.68341,0.60000,0.84205,0.77954
6.00000,0.73017,0.52223,0.80688,0.73426
2.00000,0.76637,0.82397,0.83776,0.87214
6.00000,0.73017,0.52223,0.80688,0.73658
1.00000,0.77010,0.81412,0.82680,0.88905
4.00000,0.71598,0.63086,0.85183,0.79995
3.00000,0.74456,0.73437,0.84488,0.85438
5.00000,0.68341,0.60000,0.84205,0.79009
4.00000,0.71598,0.63086,0.85183,0.80086
2.00000,0.76637,0.82397,0.82930,0.87008
1.00000,0.77010,0.81412,0.82677,0.90533
3.00000,0.74456,0.73437,0.84296,0.86679
7.00000,0.72016,0.50022,0.76668,0.71944
6.00000,0.55863,0.50621,0.63925,0.72434
7.00000,0.54339,0.49888,0.61175,0.71061
4.00000,0.58124,0.59688,0.74125,0.77218
5.00000,0.56179,0.56422,0.75426,0.76659
2.00000,0.59352,0.72743,0.70560,0.85266
3.00000,0.55405,0.72012,0.72336,0.84063
1.00000,0.60896,0.65408,0.79630,0.84226
